Country Name,Year,Log of GDP per capita,Life Expectancy at 0 Log,Life Expectancy at 40 Log,Life Expectancy at 60 Log,Life Expectancy at 65 Log,Life Expectancy at 80 Log
Lithuania,2013,10.388516114724938,4.302910834736529,3.5876769486047735,2.998229153752578,2.8124102164264526,2.0412203288596382
Lithuania,2014,10.434145603448396,4.3110282691971795,3.6041382256588457,3.0155349008501706,2.8273136219290276,2.0731719286662407
Lithuania,2015,10.471487407183645,4.30840634846665,3.5986811861957873,3.0007198150650303,2.8124102164264526,2.0412203288596382
Lithuania,2016,10.510562830298698,4.313088204249631,3.6027767550605247,3.0106208860477417,2.821378886409213,2.0668627594729756
Lithuania,2017,10.569636458276966,4.323874183118576,3.6189933266497696,3.022860940942244,2.8273136219290276,2.0541237336955462
Lithuania,2018,10.627190794220317,4.326520370283104,3.6256733782101436,3.0301337002713233,2.8390784635086144,2.0794415416798357
Lithuania,2019,10.67555042885327,4.334449149555643,3.636269503841639,3.0492730404820207,2.856470206220483,2.122261538862764
Lithuania,2020,10.675710809809322,4.317195387762968,3.597312260588446,2.9932291433358724,2.7942278973432626,2.0412203288596382
Luxembourg,2000,11.638999266384216,4.355081487008292,3.6750340472918834,3.079613757534693,2.8791984572980396,2.0668627594729756
Luxembourg,2001,11.65737513753204,4.354454881282522,3.6788291182604347,3.084200921541599,2.8820035082256483,2.066862759472976
Luxembourg,2002,11.67864345391644,4.3562709572490155,3.681351187693145,3.0887671395211806,2.8875901149342877,2.1041341542702074
Luxembourg,2003,11.692348049635386,4.353200490823869,3.667400422436812,3.0516399054922867,2.8390784635086144,1.9878743481543455
Luxembourg,2004,11.719582678783576,4.370990348537161,3.7013019741124933,3.1157350659486873,2.917770732084279,2.0856720914304723
Luxembourg,2005,11.728807654694783,4.374897625063411,3.7049988359938197,3.1157350659486873,2.920469789053444,2.1102132003465894
Luxembourg,2006,11.771283720704204,4.373084332199351,3.700066643504501,3.1157350659486873,2.9258461460898246,2.122261538862764
Luxembourg,2007,11.833714065249966,4.374283317801424,3.7013019741124933,3.106826321059578,2.9096295745005794,2.0918640616783932
Luxembourg,2008,11.812832822415466,4.38874184199012,3.7281001672672174,3.1484533605716547,2.954910279033736,2.151762203259462
Luxembourg,2009,11.761389380285461,4.389952459304497,3.7293013686128518,3.159125820462427,2.970414465569701,2.169053700369523
Luxembourg,2010,11.780049662192894,4.389891963221602,3.730501128804756,3.1612467120315646,2.9678470700644555,2.163323025660538
Luxembourg,2011,11.768211892850562,4.394298586300553,3.7376696182833684,3.1654750481410856,2.980618635743943,2.191653532286764
Luxembourg,2012,11.760560864137553,4.399285378673279,3.7471483622379123,3.1801349965517702,2.990719731730447,2.2192034840549946
Luxembourg,2013,11.76867438312873,4.404277243608702,3.7577056450437887,3.2007118542405295,3.0204248861443626,2.2669579153508947
